          EPG-1La    EPG-1Lb    EPG-1Lc    EPG-1Ra    EPG-1Rb    EPG-1Rc    EPG-8La    EPG-8Lb    EPG-8Lc    EPG-2Ra    EPG-2Rb    EPG-2Rc    EPG-7La    EPG-7Lb    EPG-7Lc    EPG-3Ra    EPG-3Rb    EPG-3Rc    EPG-6La    EPG-6Lb    EPG-6Lc    EPG-4Ra    EPG-4Rb    EPG-4Rc    EPG-5La    EPG-5Lb    EPG-5Lc    EPG-5Ra    EPG-5Rb    EPG-5Rc    EPG-4La    EPG-4Lb    EPG-4Lc    EPG-6Ra    EPG-6Rb    EPG-6Rc    EPG-3La    EPG-3Lb    EPG-3Lc    EPG-7Ra    EPG-7Rb    EPG-7Rc    EPG-2La    EPG-2Lb    EPG-2Lc    EPG-8Ra    EPG-8Rb    EPG-8Rc    PEN1-2R    PEN1-3R    PEN1-4R    PEN1-5R    PEN1-6R    PEN1-7R    PEN1-8R    PEN1-9R    PEN1-9L    PEN1-8L    PEN1-7L    PEN1-6L    PEN1-5L    PEN1-4L    PEN1-3L    PEN1-2L    D7-8R1L9La D7-8R1L9Lb D7-8R1L9Lc D7-8R1L9Ld D7-1R8La   D7-1R8Lb   D7-1R8Lc   D7-1R8Ld   D7-2R7La   D7-2R7Lb   D7-2R7Lc   D7-2R7Ld   D7-3R6La   D7-3R6Lb   D7-3R6Lc   D7-3R6Ld   D7-4R5La   D7-4R5Lb   D7-4R5Lc   D7-4R5Ld   D7-5R4La   D7-5R4Lb   D7-5R4Lc   D7-5R4Ld   D7-6R3La   D7-6R3Lb   D7-6R3Lc   D7-6R3Ld   D7-7R2La   D7-7R2Lb   D7-7R2Lc   D7-7R2Ld   D7-8R1La   D7-8R1Lb   D7-8R1Lc   D7-8R1Ld   D7-9R1R8La D7-9R1R8Lb D7-9R1R8Lc D7-9R1R8Ld 
EPG-5Rc    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 29.4610053 29.4610053 0          12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          7.39490709 20.3964114 16.8545045 0          0          0          0          0          20.3964114 16.8545045 0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 
EPG-4La    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 0          29.4610053 29.4610053 12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          16.8545045 20.3964114 0          0          0          0          0          16.8545045 20.3964114 7.39490709 0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 
EPG-4Lb    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 29.4610053 0          29.4610053 12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          16.8545045 20.3964114 0          0          0          0          0          16.8545045 20.3964114 7.39490709 0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 
EPG-4Lc    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 29.4610053 29.4610053 0          12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          16.8545045 20.3964114 0          0          0          0          0          16.8545045 20.3964114 7.39490709 0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 
EPG-6Ra    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 0          29.4610053 29.4610053 12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          7.39490709 20.3964114 16.8545045 0          0          0          0          0          20.3964114 16.8545045 0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 
EPG-6Rb    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 29.4610053 0          29.4610053 12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          7.39490709 20.3964114 16.8545045 0          0          0          0          0          20.3964114 16.8545045 0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 
EPG-6Rc    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 29.4610053 29.4610053 0          12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          7.39490709 20.3964114 16.8545045 0          0          0          0          0          20.3964114 16.8545045 0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 
EPG-3La    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 0          29.4610053 29.4610053 12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          16.8545045 20.3964114 0          0          0          0          0          16.8545045 20.3964114 7.39490709 0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 
EPG-3Lb    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 29.4610053 0          29.4610053 12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          16.8545045 20.3964114 0          0          0          0          0          16.8545045 20.3964114 7.39490709 0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 
EPG-3Lc    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 29.4610053 29.4610053 0          12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          16.8545045 20.3964114 0          0          0          0          0          16.8545045 20.3964114 7.39490709 0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 
EPG-7Ra    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 0          29.4610053 29.4610053 12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          7.39490709 20.3964114 16.8545045 0          0          0          0          0          20.3964114 16.8545045 0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 
EPG-7Rb    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 29.4610053 0          29.4610053 12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          7.39490709 20.3964114 16.8545045 0          0          0          0          0          20.3964114 16.8545045 0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 
EPG-7Rc    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 29.4610053 29.4610053 0          12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          7.39490709 20.3964114 16.8545045 0          0          0          0          0          20.3964114 16.8545045 0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 
EPG-2La    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 0          29.4610053 29.4610053 12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          16.8545045 20.3964114 0          0          0          0          0          16.8545045 20.3964114 7.39490709 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 
EPG-2Lb    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 29.4610053 0          29.4610053 12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          16.8545045 20.3964114 0          0          0          0          0          16.8545045 20.3964114 7.39490709 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 
EPG-2Lc    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 29.4610053 29.4610053 0          12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          16.8545045 20.3964114 0          0          0          0          0          16.8545045 20.3964114 7.39490709 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 
EPG-8Ra    12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 0          29.4610053 29.4610053 16.8545045 0          0          0          0          0          7.39490709 20.3964114 0          0          0          0          0          0          20.3964114 16.8545045 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 
EPG-8Rb    12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 29.4610053 0          29.4610053 16.8545045 0          0          0          0          0          7.39490709 20.3964114 0          0          0          0          0          0          20.3964114 16.8545045 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 
EPG-8Rc    12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 29.4610053 29.4610053 0          16.8545045 0          0          0          0          0          7.39490709 20.3964114 0          0          0          0          0          0          20.3964114 16.8545045 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 
PEN1-2R    49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 44.6209431 44.6209431 44.6209431 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          44.6209431 44.6209431 44.6209431 0          1.65543570 0          0          0          0          0          1.65543570 1.65543570 0          0          0          0          0          1.65543570 7.92662139 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-3R    0          0          0          44.6209431 44.6209431 44.6209431 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 44.6209431 44.6209431 44.6209431 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          1.65543570 0          1.65543570 0          0          0          0          0          7.92662139 1.65543570 0          0          0          0          0          1.65543570 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-4R    0          0          0          0          0          0          0          0          0          44.6209431 44.6209431 44.6209431 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 44.6209431 44.6209431 44.6209431 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          1.65543570 0          1.65543570 0          0          0          0          1.65543570 7.92662139 1.65543570 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-5R    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          44.6209431 44.6209431 44.6209431 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 44.6209431 44.6209431 44.6209431 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          1.65543570 0          1.65543570 0          0          0          0          1.65543570 7.92662139 1.65543570 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-6R    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          44.6209431 44.6209431 44.6209431 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 44.6209431 44.6209431 44.6209431 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          1.65543570 0          1.65543570 0          0          0          0          1.65543570 7.92662139 1.65543570 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-7R    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          44.6209431 44.6209431 44.6209431 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 44.6209431 44.6209431 44.6209431 0          0          0          0          0          0          0          0          0          0          0          0          0          1.65543570 0          1.65543570 0          0          0          0          1.65543570 7.92662139 1.65543570 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-8R    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          44.6209431 44.6209431 44.6209431 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 44.6209431 44.6209431 44.6209431 0          0          0          0          0          0          0          0          1.65543570 0          1.65543570 0          0          0          0          1.65543570 7.92662139 1.65543570 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-9R    44.6209431 44.6209431 44.6209431 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          44.6209431 44.6209431 44.6209431 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 1.65543570 0          0          0          0          0          1.65543570 0          0          0          0          0          0          1.65543570 7.92662139 1.65543570 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-9L    0          0          0          44.6209431 44.6209431 44.6209431 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 44.6209431 44.6209431 44.6209431 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          1.65543570 7.92662139 1.65543570 0          0          0          0          0          0          1.65543570 0          0          0          0          0          1.65543570 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-8L    0          0          0          0          0          0          0          0          0          44.6209431 44.6209431 44.6209431 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 44.6209431 44.6209431 44.6209431 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          1.65543570 7.92662139 1.65543570 0          0          0          0          1.65543570 0          1.65543570 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-7L    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          44.6209431 44.6209431 44.6209431 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 44.6209431 44.6209431 44.6209431 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          1.65543570 7.92662139 1.65543570 0          0          0          0          1.65543570 0          1.65543570 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-6L    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          44.6209431 44.6209431 44.6209431 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 44.6209431 44.6209431 44.6209431 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          1.65543570 7.92662139 1.65543570 0          0          0          0          1.65543570 0          1.65543570 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-5L    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          44.6209431 44.6209431 44.6209431 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 44.6209431 44.6209431 44.6209431 0          0          0          0          0          0          0          0          0          0          0          0          0          1.65543570 7.92662139 1.65543570 0          0          0          0          1.65543570 0          1.65543570 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-4L    0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          44.6209431 44.6209431 44.6209431 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 44.6209431 44.6209431 44.6209431 0          0          0          0          0          0          0          0          1.65543570 7.92662139 1.65543570 0          0          0          0          1.65543570 0          1.65543570 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-3L    44.6209431 44.6209431 44.6209431 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          44.6209431 44.6209431 44.6209431 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 1.65543570 0          0          0          0          0          1.65543570 7.92662139 0          0          0          0          0          1.65543570 0          1.65543570 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
PEN1-2L    49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 49.6669347 44.6209431 44.6209431 44.6209431 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          44.6209431 44.6209431 44.6209431 7.92662139 1.65543570 0          0          0          0          0          1.65543570 1.65543570 0          0          0          0          0          1.65543570 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          
D7-8R1L9La 9.78758030 9.78758030 9.78758030 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          9.78758030 9.78758030 9.78758030 0          0          0          0          0          0          8.95596772 0          8.95596772 0          0          0          0          0          0          0          0          5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        
D7-8R1L9Lb 9.78758030 9.78758030 9.78758030 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          9.78758030 9.78758030 9.78758030 0          0          0          0          0          0          8.95596772 0          8.95596772 0          0          0          0          0          0          0          5.5        0          5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        5.5        
