          PEN1-5R    PEN1-5L    PEN1-6Ra   PEN1-6Rb   PEN1-6La   PEN1-6Lb   PEN1-7R    PEN1-7L    PEN2-5R    PEN2-5L    PEN2-6Ra   PEN2-6Rb   PEN2-6La   PEN2-6Lb   PEN2-7R    PEN2-7L    EPG-5Ra    EPG-5Rb    EPG-5Rc    EPG-5La    EPG-5Lb    EPG-5Lc    EPG-6Ra    EPG-6Rb    EPG-6La    EPG-6Lb    PEG-5R     PEG-5L     PEG-6R     PEG-6L     Ra         Rb         Rc         Rd         Re         Rf         Rg         
EPG-5Lc    5.0        17.0       24.0       14.0       18.0       25.0       4.0        5.0        0          17.0       22.0       17.0       22.0       30.0       0          0          35.0       15.0       7.0        44.0       34.0       1.0        0          0          0          0          14.0       84.0       0          4.0        0          0          1.0        0          0          0          1.0        
EPG-6Ra    0          28.0       14.0       2.0        0          2.0        31.0       0          0          34.0       7.0        9.0        0          0          24.0       0          0          0          4.0        0          0          1.0        1.0        27.0       0          0          0          0          90.0       0          1.0        0          0          1.0        0          4.0        0          
EPG-6Rb    0          16.0       13.0       6.0        0          1.0        17.0       0          0          29.0       3.0        7.0        0          0          19.0       0          0          0          0          0          0          0          25.0       0          0          0          1.0        0          67.0       0          1.0        1.0        0          1.0        0          4.0        2.0        
EPG-6La    23.0       0          0          0          3.0        0          0          22.0       26.0       0          0          0          4.0        7.0        0          36.0       0          0          0          0          2.0        0          0          0          1.0        37.0       0          2.0        0          107.0      1.0        1.0        1.0        1.0        1.0        3.0        1.0        
EPG-6Lb    24.0       0          2.0        3.0        10.0       1.0        0          26.0       42.0       0          0          0          8.0        13.0       0          45.0       0          0          0          10.0       2.0        2.0        0          0          29.0       0          0          2.0        0          115.0      0          2.0        2.0        0          2.0        0          0          
PEG-5R     0          0          0          2.0        2.0        4.0        0          0          2.0        2.0        25.0       25.0       25.0       25.0       4.0        1.0        6.0        2.0        4.0        2.0        2.0        5.0        0          0          1.0        0          0          4.0        1.0        0          0          0          0          0          0          0          0          
PEG-5L     0          0          1.0        1.0        3.0        0          0          0          4.0        0          26.0       26.0       25.0       22.0       0          2.0        0          1.0        0          2.0        6.0        3.0        0          0          0          1.0        6.0        0          0          0          0          0          0          0          0          0          0          
PEG-6R     0          0          0          0          0          0          0          0          0          45.0       0          2.0        0          0          48.0       0          0          0          2.0        0          0          0          1.0        2.0        0          0          0          0          0          0          0          0          0          0          0          0          0          
PEG-6L     3.0        0          0          0          0          0          0          3.0        36.0       0          2.0        0          0          1.0        0          55.0       0          0          0          0          1.0        0          0          0          1.0        6.0        0          1.0        0          0          0          0          0          0          0          0          0          
Ra         0          6.0        0          0          0          2.0        1.0        1.0        4.0        7.0        4.0        1.0        6.0        1.0        4.0        8.0        6.0        11.0       8.0        8.0        5.0        8.0        3.0        8.0        3.0        6.0        0          0          0          0          0          37.0       29.0       24.0       12.0       50.0       28.0       
Rb         1.0        1.0        0          0          0          0          0          0          3.0        4.0        1.0        1.0        3.0        1.0        2.0        4.0        10.0       6.0        3.0        7.0        2.0        13.0       7.0        9.0        4.0        9.0        0          0          0          0          32.0       0          40.0       39.0       16.0       47.0       21.0       
Rc         0          0          1.0        2.0        0          0          0          0          7.0        8.0        3.0        2.0        0          4.0        4.0        6.0        4.0        4.0        5.0        8.0        6.0        6.0        4.0        8.0        6.0        4.0        0          0          0          0          39.0       40.0       0          20.0       13.0       39.0       20.0       
Rd         1.0        1.0        0          0          0          0          0          0          1.0        0          0          0          4.0        0          0          1.0        7.0        8.0        8.0        6.0        2.0        10.0       5.0        9.0        7.0        3.0        0          0          0          0          20.0       32.0       21.0       0          20.0       33.0       14.0       
Re         2.0        0          0          1.0        0          0          0          3.0        3.0        2.0        0          0          4.0        0          1.0        4.0        10.0       4.0        3.0        8.0        4.0        8.0        0          0          5.0        10.0       0          0          0          0          18.0       17.0       16.0       20.0       0          26.0       10.0       
Rf         0          5.0        0          1.0        1.0        0          0          0          6.0        7.0        2.0        1.0        3.0        1.0        4.0        7.0        7.0        9.0        7.0        4.0        8.0        9.0        5.0        10.0       7.0        8.0        0          0          0          0          46.0       53.0       37.0       34.0       24.0       0          33.0       
Rg         1.0        0          0          0          3.0        1.0        0          0          1.0        4.0        3.0        0          4.0        2.0        7.0        3.0        7.0        5.0        1.0        6.0        10.0       12.0       5.0        10.0       11.0       7.0        0          0          0          0          37.0       20.0       21.0       16.0       16.0       27.0       0          
